"id","region","provincia","comuna","cut","variable","valor","ano","fuente"
"58","Los Lagos","Palena","Futaleufú","10402","N° de hogares con jefatura de hogar adulto mayor","369","2021","ADIS"
"59","Los Lagos","Palena","Hualaihué","10403","N° de hogares con jefatura de hogar adulto mayor","1358","2021","ADIS"
"60","Los Lagos","Palena","Palena","10404","N° de hogares con jefatura de hogar adulto mayor","304","2021","ADIS"
"61","Los Lagos","Llanquihue","Puerto Montt",10101,"N° de hogares unipersonales","65345","2021","ADIS"
"62","Los Lagos","Llanquihue","Calbuco","10102","N° de hogares unipersonales","6218","2021","ADIS"
"63","Los Lagos","Llanquihue","Cochamó","10103","N° de hogares unipersonales","1402","2021","ADIS"
"64","Los Lagos","Llanquihue","Fresia","10104","N° de hogares unipersonales","2154","2021","ADIS"
"65","Los Lagos","Llanquihue","Frutillar","10105","N° de hogares unipersonales","5359","2021","ADIS"
"66","Los Lagos","Llanquihue","Los Muermos","10106","N° de hogares unipersonales","3645","2021","ADIS"
"67","Los Lagos","Llanquihue","Llanquihue","10107","N° de hogares unipersonales","4431","2021","ADIS"
"68","Los Lagos","Llanquihue","Maullín","10108","N° de hogares unipersonales","4635","2021","ADIS"
"69","Los Lagos","Llanquihue","Puerto Varas","10109","N° de hogares unipersonales","11226","2021","ADIS"
"70","Los Lagos","Chiloé","Castro","10201","N° de hogares unipersonales","10657","2021","ADIS"
"71","Los Lagos","Chiloé","Ancud","10202","N° de hogares unipersonales","10380","2021","ADIS"
"72","Los Lagos","Chiloé","Chonchi","10203","N° de hogares unipersonales","3677","2021","ADIS"
"73","Los Lagos","Chiloé","Curaco de Vélez","10204","N° de hogares unipersonales","778","2021","ADIS"
"74","Los Lagos","Chiloé","Dalcahue","10205","N° de hogares unipersonales","3863","2021","ADIS"
"75","Los Lagos","Chiloé","Puqueldón","10206","N° de hogares unipersonales","697","2021","ADIS"
"76","Los Lagos","Chiloé","Queilén","10207","N° de hogares unipersonales","1400","2021","ADIS"
"77","Los Lagos","Chiloé","Quellón","10208","N° de hogares unipersonales","6879","2021","ADIS"
"78","Los Lagos","Chiloé","Quemchi","10209","N° de hogares unipersonales","2170","2021","ADIS"
"79","Los Lagos","Chiloé","Quinchao","10210","N° de hogares unipersonales","1345","2021","ADIS"
"80","Los Lagos","Osorno","Osorno","10301","N° de hogares unipersonales","32608","2021","ADIS"
"81","Los Lagos","Osorno","Puerto Octay","10302","N° de hogares unipersonales","2158","2021","ADIS"
"82","Los Lagos","Osorno","Purranque","10303","N° de hogares unipersonales","4312","2021","ADIS"
"83","Los Lagos","Osorno","Puyehue","10304","N° de hogares unipersonales","2025","2021","ADIS"
"84","Los Lagos","Osorno","Río Negro","10305","N° de hogares unipersonales","3916","2021","ADIS"
"85","Los Lagos","Osorno","San Juan de la Costa","10306","N° de hogares unipersonales","2025","2021","ADIS"
"86","Los Lagos","Osorno","San Pablo","10307","N° de hogares unipersonales","2421","2021","ADIS"
"87","Los Lagos","Palena","Chaitén","10401","N° de hogares unipersonales","884","2021","ADIS"
"88","Los Lagos","Palena","Futaleufú","10402","N° de hogares unipersonales","567","2021","ADIS"
"89","Los Lagos","Palena","Hualaihué","10403","N° de hogares unipersonales","2524","2021","ADIS"
"90","Los Lagos","Palena","Palena","10404","N° de hogares unipersonales","407","2021","ADIS"
"91","Los Lagos","Llanquihue","Puerto Montt",10101,"N° de hogares en tramo 40 de calificación socioeconómica","64330","2021","ADIS"
