"id","region","provincia","comuna","cut","variable","valor","ano","fuente"
52,"Los Lagos","Osorno","Purranque","10303","N° de personas pertenecientes a pueblos originarios","5617",NULL,"ADIS"
53,"Los Lagos","Osorno","Puyehue","10304","N° de personas pertenecientes a pueblos originarios","2488",NULL,"ADIS"
54,"Los Lagos","Osorno","Río Negro","10305","N° de personas pertenecientes a pueblos originarios","6431",NULL,"ADIS"
55,"Los Lagos","Osorno","San Juan de la Costa","10306","N° de personas pertenecientes a pueblos originarios","6841",NULL,"ADIS"
56,"Los Lagos","Osorno","San Pablo","10307","N° de personas pertenecientes a pueblos originarios","2837",NULL,"ADIS"
57,"Los Lagos","Palena","Chaitén","10401","N° de personas pertenecientes a pueblos originarios","891",NULL,"ADIS"
58,"Los Lagos","Palena","Futaleufú","10402","N° de personas pertenecientes a pueblos originarios","324",NULL,"ADIS"
59,"Los Lagos","Palena","Hualaihué","10403","N° de personas pertenecientes a pueblos originarios","2343",NULL,"ADIS"
60,"Los Lagos","Palena","Palena","10404","N° de personas pertenecientes a pueblos originarios","209",NULL,"ADIS"
61,"Los Lagos","Llanquihue","Puerto Montt","10101","N° de personas extranjeras","3982",NULL,"ADIS"
62,"Los Lagos","Llanquihue","Calbuco","10102","N° de personas extranjeras","155",NULL,"ADIS"
63,"Los Lagos","Llanquihue","Cochamó","10103","N° de personas extranjeras","42",NULL,"ADIS"
64,"Los Lagos","Llanquihue","Fresia","10104","N° de personas extranjeras","28",NULL,"ADIS"
65,"Los Lagos","Llanquihue","Frutillar","10105","N° de personas extranjeras","143",NULL,"ADIS"
66,"Los Lagos","Llanquihue","Los Muermos","10106","N° de personas extranjeras","105",NULL,"ADIS"
67,"Los Lagos","Llanquihue","Llanquihue","10107","N° de personas extranjeras","113",NULL,"ADIS"
68,"Los Lagos","Llanquihue","Maullín","10108","N° de personas extranjeras","31",NULL,"ADIS"
69,"Los Lagos","Llanquihue","Puerto Varas","10109","N° de personas extranjeras","718",NULL,"ADIS"
70,"Los Lagos","Chiloé","Castro","10201","N° de personas extranjeras","733",NULL,"ADIS"
71,"Los Lagos","Chiloé","Ancud","10202","N° de personas extranjeras","370",NULL,"ADIS"
72,"Los Lagos","Chiloé","Chonchi","10203","N° de personas extranjeras","65",NULL,"ADIS"
73,"Los Lagos","Chiloé","Curaco de Vélez","10204","N° de personas extranjeras","20",NULL,"ADIS"
74,"Los Lagos","Chiloé","Dalcahue","10205","N° de personas extranjeras","68",NULL,"ADIS"
75,"Los Lagos","Chiloé","Chiloé","10206","N° de personas extranjeras","10",NULL,"ADIS"
76,"Los Lagos","Chiloé","Queilén","10207","N° de personas extranjeras","27",NULL,"ADIS"
